numero_de_identificacao,nome_do_pais,continente,cidade_mais_populosa,populacao_do_pais,extensao_territorial_do_pais,pib,pib_per_capita
143,Quirguistao,Asia,Bisqueue,6735348,199951,12.309,1827.52
144,Chade,Africa,Ndjamena,18278568,1284000,11.962,654.428
145,Malawi,Africa,Lilongue,20931751,118484,11.277,538.751
146,Mauritania,Africa,Nuaquexote,4862989,1030700,10.966,2254.99
147,Togo,Africa,Lome,9053799,56785,9.001,994.168
148,Somalia,Africa,Mogadiscio,18143379,637657,8.738,481.608
149,Montenegro,Europa,Podgorica,626485,13812,7.027,11216.5
150,Sudao do Sul,Africa,Juba,11088796,644329,7.012,632.35
151,Maldivas,Asia,Male,523787,300,7.004,13371.8
152,Barbados,Americas,Bridgetown,281996,430,6.117,21691.8
153,Fiji,Oceania,Nasinu,936376,18272,5.385,5750.9
154,Essuatini,Africa,Manzini,1210822,17364,4.824,3984.07
155,Liberia,Africa,Monrovia,5418377,111369,4.375,807.437
156,Djibouti,Africa,Djibouti,1136455,23200,3.916,3445.8
157,Andorra,Europa,Andorra-a-Velha,80088,468,3.669,45812.1
158,Serra Leoa,Africa,Freetown,8791092,71740,3.52,400.405
159,Suriname,Americas,Paramaribo,623237,163820,3.47,5567.71
160,Burundi,Africa,Bujumbura,13238559,27834,3.234,244.286
161,Belize,Americas,Cidade do Belize,410825,22966,3.162,7696.71
162,Republica Centro-Africana,Africa,Bangui,5742316,622984,2.736,476.463
163,Butao,Asia,Timfu,787425,38394,2.683,3407.31
164,Eritreia,Africa,Asmara,3748902,117600,2.666,711.142
165,Lesoto,Africa,Maseru,2330318,30355,2.584,1108.86
166,Cabo Verde,Africa,Praia,598682,4033,2.468,4122.39
167,Gambia,Africa,Serekunda,2773168,11295,2.277,821.083
168,Santa Lucia,Americas,Castries,180251,606,2.262,12549.2
169,Timor Leste,Asia,Dili,1360596,14919,1.988,1461.12
170,Seychelles,Africa,Vitoria,107660,452,1.95,18112.6
171,Guine-Bissau,Africa,Bissau,2150842,36125,1.887,877.331
172,Antigua e Barbuda,Americas,Sao Joao,94298,442,1.864,19767.1
173,San Marino,Europa,Dogana,33642,61,1.807,53712.6
174,Ilhas Salomao,Oceania,Honiara,740425,28896,1.701,2297.33
175,Comores,Africa,Moroni,852075,1862,1.348,1582.02
176,Granada,Americas,Sao Jorge,126184,344,1.274,10096.4
177,Vanuatu,Oceania,Porto Vila,334506,12189,1.064,3180.81
178,Sao Cristovao e Nevis,Americas,Basseterre,47755,261,1.052,22029.1
179,Sao Vicente e Granadinas,Americas,Kingstown,103699,389,1.039,10019.4
180,Samoa,Oceania,Apia,225681,2842,0.898,3979.07
181,Dominica,Americas,Roseau,73040,751,0.681,9323.66
182,Sao Tome e Principe,Africa,Sao Tome,231856,964,0.625,2695.64
183,Tonga,Oceania,Nucualofa,107773,747,0.541,5019.81
184,Micronesia,Oceania,Weno,115224,702,0.456,3957.51
185,Ilhas Marshall,Oceania,Ebeye,41996,181,0.291,6929.23
186,Kiribati,Oceania,Betio,133515,811,0.248,1857.47
187,Nauru,Oceania,Iarem,12780,21,0.151,11815.3
188,Tuvalu,Oceania,Funafuti,11396,26,0.065,5703.76
